Title,Genre,Subgenres,Setting,Protagonist_Demographics,Protagonist_Gender,Protagonist_Ethnicity,Main_Studio,Theme1, Theme2 ,Number_of_Episodes,Rating
Dog of Flanders,Adventure,Drama,19th Century Belgium,Child,Male,European,Mushi Production,Childhood,Friendship,1,7.8
Maya the Honey Bee,Adventure,Fantasy,Nature,Insect,Female,Insect,Nippon Animation,Nature,Growth,104,7.4
Getter Robo G,Mecha,Action,Sci-Fi,Teen,Male,Japanese,Toei Animation,Robots,Teamwork,39,7.1
La Seine no Hoshi,Historical,Romance,18th Century France,Young Adult,Female,European,Sunrise,Revolution,Romance,39,7.3
Mobile Suit Gundam,Mecha,War,Space,Teen,Male,Japanese,Sunrise,War,Political,43,8.2
Space Battleship Yamato,Sci-Fi,Space Opera,Space,Adult,Male,Japanese,Academy Productions,War,Hope,26,8.0
Lupin the Third,Adventure,Comedy,Various,Adult,Male,Japanese,Tokyo Movie Shinsha,Heist,Action,23,7.9
Rose of Versailles,Historical,Drama,18th Century France,Young Adult,Female,European,TMS Entertainment,Revolution,Romance,40,8.3
Macross,Mecha,Sci-Fi,Space,Adult,Male,Japanese,Tatsunoko Production,War,Music,36,8.1
Dragon Ball,Adventure,Action,Fantasy,Child,Male,Fictional,Toei Animation,Martial Arts,Friendship,153,8.5
Nausicaä of the Valley of the Wind,Fantasy,Adventure,Post-Apocalyptic,Teen,Female,Fictional,Topcraft,Environmentalism,War,1,8.6
Dirty Pair,Sci-Fi,Action,Space,Adult,Female,Multi-ethnic,Sunrise,Bounty Hunters,Comedy,26,7.7
My Neighbor Totoro,Fantasy,Family,Rural Japan,Child,Female,Japanese,Studio Ghibli,Nature,Childhood,1,8.4
Akira,Sci-Fi,Cyberpunk,Neo-Tokyo,Teen,Male,Japanese,Tokyo Movie Shinsha,Power,Society,1,8.1
Cowboy Bebop,Sci-Fi,Action,Space,Adult,Male,Multi-ethnic,Sunrise,Bounty Hunters,Jazz,26,8.9
Neon Genesis Evangelion,Mecha,Psychological,Post-Apocalyptic,Teen,Male,Japanese,Gainax,Existentialism,Trauma,26,8.5
Princess Mononoke,Fantasy,Adventure,Ancient Japan,Young Adult,Female,Fictional,Studio Ghibli,Nature,Conflict,1,8.4
Cardcaptor Sakura,Magical Girl,Fantasy,Modern Japan,Child,Female,Japanese,Madhouse,Friendship,Magic,70,8.0
One Piece,Adventure,Action,Various,Teen,Male,Fictional,Toei Animation,Pirates,Friendship,Ongoing,8.6
Naruto,Action,Adventure,Fantasy,Teen,Male,Fictional,Studio Pierrot,Ninja,Friendship,220,8.3
Fullmetal Alchemist,Action,Adventure,Steampunk,Teen,Male,Fictional,Bones,Alchemy,Brotherhood,51,9.1
